seriesID,food_item
702111,"white bread per lb."
702421,"chocolate chip cookies per lb."
704111,"sliced bacon per lb."
704211,"bone-in chops per lb."
708111,"large eggs per doz."
713111,"orange juice per 16 oz."
718311,"potato chips per 16 oz."
701111,"white all purpose Flour per lb."
706111,"whole chicken per lb."
710411,"ice cream per 1/2 gal."
711211,"bananas per lb."
712311,"tomatoes per lb."
711412,"lemons per lb."
701312,"white rice per lb."
717311,"ground roast coffee per lb."
712211,"iceberg lettuce per lb."
711411,"grapefruit per lb."
703112,"ground beef per lb."
715212,"white sugar per lb."
710212,"natural cheddar cheese per lb."
710211,"american processed cheese per lb."
706311,"frozen whole Turkey per lb."
705121,"all beef or mixed Bologna per lb."
711111,"Red Delicious Apples per lb."
711415,"dry pint Strawberries per 12 oz."
711417,"Thompson Seedless Grapes per lb."
716141,"creamy all sizes Peanut butter per lb."
711311,"Navel Oranges per lb."
712406,"sweet Peppers per lb."
709112,"fresh whole fortified Milk per gal."
720311,"red and white table all sizes any origin Wine per 1 liter"
712401,"cabbage per lb."
704311,"rump or shank half bone-in smoked Ham per lb."
707111,"light chunk Tuna per lb."
712412," Broccoli per lb."
704421,"fresh loose Sausage per lb."
712403,"short trimmed and topped Carrots per lb."
712402," Celery per lb."
711413,"Anjou Pears per lb."
FF1101,"boneless Chicken breast per lb."
712409,"cucumbers per lb."
703411,"USDA Choice bone-in Rib roast per lb."
712404,"dry yellow Onions per lb."
711414,"peaches per lb."
702611,"soda salted Crackers per lb."
708112,"grade AA large Eggs per doz."
703425,"rib eye USDA Choice boneless Steak per lb."
712408, Radishes per lb.
712410,green snap Beans per lb.
703431,"any primal source bone-in Short ribs per lb."
720222,"all types all sizes any origin Vodka per 1 liter"
FJ4101,"yogurt per 8 oz."
FS1101,"stick Butter per lb."
712405,green scallions Onions per lb.
702411,chocolate Cupcakes per lb.
712111,white Potatoes per lb.
715111,solid Hard candy per lb.
712411, Mushrooms per lb.
702221,hamburger Rolls per lb.
712407,"corn on the cob per lb."
711418,"cherries per lb."
702213,wheat blend pan Bread per lb.
715311, Jelly per lb.
717112,non diet return bottles 24-40 ounce Cola per 16 oz.
705142,"bone-in Lamb and mutton per lb."
701321, Spaghetti per lb.
720211,375 ml-1.75 liter Bourbon whiskey per 25.4 oz.
