Series ID,Year,Value
APU0000701111,1980,0.21
APU0000701111,1981,0.22
APU0000701111,1982,0.22
APU0000701111,1983,0.22
APU0000701111,1984,0.21
APU0000701111,1985,0.21
APU0000701111,1986,0.21
APU0000701111,1987,0.21
APU0000701111,1988,0.21
APU0000701111,1989,0.24
APU0000701111,1990,0.25
APU0000701111,1991,0.23
APU0000701111,1992,0.24
APU0000701111,1993,0.23
APU0000701111,1994,0.23
APU0000701111,1995,0.25
APU0000701111,1996,0.29
APU0000701111,1997,0.3
APU0000701111,1998,0.3
APU0000701111,1999,0.29
APU0000701111,2000,0.29
APU0000701111,2001,0.3
APU0000701111,2002,0.31
APU0000701111,2003,0.31
APU0000701111,2004,0.3
APU0000701111,2005,0.32
APU0000701111,2006,0.33
APU0000701111,2007,0.36
APU0000701111,2008,0.51
APU0000701111,2009,0.5
APU0000701111,2010,0.48
APU0000701111,2011,0.52
APU0000701111,2012,0.52
APU0000701111,2013,0.52
APU0000701111,2014,0.53
APU0000701111,2015,0.52
APU0000701111,2016,0.52
APU0000701111,2017,0.51
APU0000701111,2018,0.46
APU0000701111,2019,0.44
APU0000701111,2020,0.45
APU0000701111,2021,0.4
APU0000701111,2022,0.49
APU0000701111,2023,0.55
APU0000701111,2024,0.57
APU0000701111,2025,0.56
APU0000701312,1980,0.51
APU0000701312,1981,0.56
APU0000701312,1982,0.5
APU0000701312,1983,0.47
APU0000701312,1984,0.48
APU0000701312,1985,0.47
APU0000701312,1986,0.45
APU0000701312,1987,0.4
APU0000701312,1988,0.48
APU0000701312,1989,0.5
APU0000701312,1990,0.5
APU0000701312,1991,0.5
APU0000701312,1992,0.53
APU0000701312,1993,0.51
APU0000701312,1994,0.55
APU0000701312,1995,0.52
APU0000701312,1996,0.55
APU0000701312,1997,0.56
APU0000701312,1998,0.54
APU0000701312,1999,0.54
APU0000701312,2000,0.49
APU0000701312,2002,0.47
APU0000701312,2003,0.45
APU0000701312,2004,0.54
APU0000701312,2005,0.55
APU0000701312,2006,0.55
APU0000701312,2007,0.55
APU0000701312,2008,0.73
APU0000701312,2009,0.77
APU0000701312,2010,0.74
APU0000701312,2011,0.74
APU0000701312,2012,0.7
APU0000701312,2013,0.72
APU0000701312,2014,0.73
APU0000701312,2015,0.69
APU0000701312,2016,0.72
APU0000701312,2017,0.72
APU0000701312,2018,0.69
APU0000701312,2019,0.76
APU0000701312,2020,0.76
APU0000701312,2021,0.79
APU0000701312,2022,0.91
APU0000701312,2023,0.98
APU0000701312,2024,1.03
APU0000701312,2025,1.05
APU0000701321,1980,0.68
APU0000701321,1981,0.74
APU0000702111,1980,0.51
APU0000702111,1981,0.53
APU0000702111,1982,0.53
APU0000702111,1983,0.54
APU0000702111,1984,0.54
APU0000702111,1985,0.55
APU0000702111,1986,0.56
APU0000702111,1987,0.55
APU0000702111,1988,0.61
APU0000702111,1989,0.67
